"time" "room" "temp"
"2022-11-25 12:38:38" "room6" 20.6
"2022-11-25 12:38:38" "room7" 20.3
"2022-11-25 12:38:38" "room8" 20.6
"2022-11-25 12:38:38" "room9" NA
"2022-11-25 13:33:44" "room0" NA
"2022-11-25 13:33:44" "room1" 21.5
"2022-11-25 13:33:44" "room2" 20.9
"2022-11-25 13:33:44" "room3" 20.5
"2022-11-25 13:33:44" "room4" 20.9
"2022-11-25 13:33:44" "room5" 19.9
"2022-11-25 13:33:44" "room6" 20.6
"2022-11-25 13:33:44" "room7" 20.3
"2022-11-25 13:33:44" "room8" 20.6
"2022-11-25 13:33:44" "room9" NA
"2022-11-25 14:21:35" "room0" 21.5
"2022-11-25 14:21:35" "room1" 21.5
"2022-11-25 14:21:35" "room2" 20.9
"2022-11-25 14:21:35" "room3" NA
"2022-11-25 14:21:35" "room4" 21.9
"2022-11-25 14:21:35" "room5" NA
"2022-11-25 14:21:35" "room6" 20.7
"2022-11-25 14:21:35" "room7" 20.3
"2022-11-25 14:21:35" "room8" 20.6
"2022-11-25 14:21:35" "room9" NA
"2022-11-25 16:30:21" "room0" 21.7
"2022-11-25 16:30:21" "room1" NA
"2022-11-25 16:30:21" "room2" 20.9
"2022-11-25 16:30:21" "room3" 20.5
"2022-11-25 16:30:21" "room4" 23.2
"2022-11-25 16:30:21" "room5" 19.9
"2022-11-25 16:30:21" "room6" 20.5
"2022-11-25 16:30:21" "room7" 20.3
"2022-11-25 16:30:21" "room8" 20.6
"2022-11-25 16:30:21" "room9" 21.2
"2022-11-25 17:20:45" "room0" 21.7
"2022-11-25 17:20:45" "room1" 21.5
"2022-11-25 17:20:45" "room2" 20.9
"2022-11-25 17:20:45" "room3" 20.5
"2022-11-25 17:20:45" "room4" 22.9
"2022-11-25 17:20:45" "room5" 20
"2022-11-25 17:20:45" "room6" 20.6
"2022-11-25 17:20:45" "room7" 20.3
"2022-11-25 17:20:45" "room8" 20.6
"2022-11-25 17:20:45" "room9" 21.3
"2022-11-25 18:26:14" "room0" 21.9
"2022-11-25 18:26:14" "room1" 21.5
"2022-11-25 18:26:14" "room2" 20.9
"2022-11-25 18:26:14" "room3" 20.5
"2022-11-25 18:26:14" "room4" NA
"2022-11-25 18:26:14" "room5" 20
"2022-11-25 18:26:14" "room6" 20.6
"2022-11-25 18:26:14" "room7" 20.3
"2022-11-25 18:26:14" "room8" NA
"2022-11-25 18:26:14" "room9" 21.3
"2022-11-25 19:16:59" "room0" 21.9
"2022-11-25 19:16:59" "room1" 21.5
"2022-11-25 19:16:59" "room2" NA
"2022-11-25 19:16:59" "room3" 20.5
"2022-11-25 19:16:59" "room4" NA
"2022-11-25 19:16:59" "room5" NA
"2022-11-25 19:16:59" "room6" 20.6
"2022-11-25 19:16:59" "room7" 20.3
"2022-11-25 19:16:59" "room8" NA
"2022-11-25 19:16:59" "room9" 21.3
"2022-11-25 20:22:11" "room0" 21.9
"2022-11-25 20:22:11" "room1" 21.4
"2022-11-25 20:22:11" "room2" NA
"2022-11-25 20:22:11" "room3" 20.5
"2022-11-25 20:22:11" "room4" 22.6
"2022-11-25 20:22:11" "room5" 20.1
"2022-11-25 20:22:11" "room6" 20.8
"2022-11-25 20:22:11" "room7" 20.3
"2022-11-25 20:22:11" "room8" 20.6
"2022-11-25 20:22:11" "room9" 21.3
"2022-11-25 21:19:29" "room0" NA
"2022-11-25 21:19:29" "room1" 21.4
"2022-11-25 21:19:29" "room2" NA
"2022-11-25 21:19:29" "room3" 20.5
"2022-11-25 21:19:29" "room4" 22.5
"2022-11-25 21:19:29" "room5" 20.1
"2022-11-25 21:19:29" "room6" NA
"2022-11-25 21:19:29" "room7" 20.4
"2022-11-25 21:19:29" "room8" NA
"2022-11-25 21:19:29" "room9" 21.3
"2022-11-25 22:19:57" "room0" 21.8
"2022-11-25 22:19:57" "room1" NA
"2022-11-25 22:19:57" "room2" NA
"2022-11-25 22:19:57" "room3" NA
"2022-11-25 22:19:57" "room4" NA
"2022-11-25 22:19:57" "room5" NA
"2022-11-25 22:19:57" "room6" NA
"2022-11-25 22:19:57" "room7" 20.5
"2022-11-25 22:19:57" "room8" NA
"2022-11-25 22:19:57" "room9" NA
"2022-11-25 23:20:59" "room0" 21.8
"2022-11-25 23:20:59" "room1" 21.5
"2022-11-25 23:20:59" "room2" 21.1
"2022-11-25 23:20:59" "room3" 20.5
"2022-11-25 23:20:59" "room4" 22.2
"2022-11-25 23:20:59" "room5" 20.2
"2022-11-25 23:20:59" "room6" 20.8
"2022-11-25 23:20:59" "room7" 20.6
"2022-11-25 23:20:59" "room8" NA
"2022-11-25 23:20:59" "room9" 21.3
"2022-11-26 01:29:55" "room0" 21.8
"2022-11-26 01:29:55" "room1" 21.7
"2022-11-26 01:29:55" "room2" 21.1
"2022-11-26 01:29:55" "room3" 20.6
"2022-11-26 01:29:55" "room4" 22.1
"2022-11-26 01:29:55" "room5" 20.2
"2022-11-26 01:29:55" "room6" 20.7
"2022-11-26 01:29:55" "room7" 20.6
"2022-11-26 01:29:55" "room8" 20.9
"2022-11-26 01:29:55" "room9" 21.4
"2022-11-26 02:54:13" "room0" 21.8
"2022-11-26 02:54:13" "room1" NA
"2022-11-26 02:54:13" "room2" 21.1
"2022-11-26 02:54:13" "room3" 20.6
"2022-11-26 02:54:13" "room4" 22
"2022-11-26 02:54:13" "room5" 20.2
"2022-11-26 02:54:13" "room6" 20.7
"2022-11-26 02:54:13" "room7" 20.7
"2022-11-26 02:54:13" "room8" NA
"2022-11-26 02:54:13" "room9" 21.4
"2022-11-26 03:28:45" "room0" 21.8
"2022-11-26 03:28:45" "room1" NA
"2022-11-26 03:28:45" "room2" NA
"2022-11-26 03:28:45" "room3" 20.6
"2022-11-26 03:28:45" "room4" 22
"2022-11-26 03:28:45" "room5" 20.2
"2022-11-26 03:28:45" "room6" 20.7
"2022-11-26 03:28:45" "room7" NA
"2022-11-26 03:28:45" "room8" 20.9
"2022-11-26 03:28:45" "room9" 21.4
"2022-11-26 04:24:59" "room0" 21.8
"2022-11-26 04:24:59" "room1" 21.7
"2022-11-26 04:24:59" "room2" 21.1
"2022-11-26 04:24:59" "room3" 20.6
"2022-11-26 04:24:59" "room4" 22
"2022-11-26 04:24:59" "room5" 20.2
"2022-11-26 04:24:59" "room6" 20.7
"2022-11-26 04:24:59" "room7" 20.7
"2022-11-26 04:24:59" "room8" NA
"2022-11-26 04:24:59" "room9" 21.5
"2022-11-26 05:18:34" "room0" NA
"2022-11-26 05:18:34" "room1" NA
"2022-11-26 05:18:34" "room2" 21.1
"2022-11-26 05:18:34" "room3" NA
"2022-11-26 05:18:34" "room4" 21.9
"2022-11-26 05:18:34" "room5" NA
"2022-11-26 05:18:34" "room6" NA
"2022-11-26 05:18:34" "room7" 20.7
"2022-11-26 05:18:34" "room8" NA
"2022-11-26 05:18:34" "room9" 21.5
"2022-11-26 06:25:55" "room0" 21.8
"2022-11-26 06:25:55" "room1" NA
"2022-11-26 06:25:55" "room2" 21.1
"2022-11-26 06:25:55" "room3" 20.6
"2022-11-26 06:25:55" "room4" NA
"2022-11-26 06:25:55" "room5" 20.2
"2022-11-26 06:25:55" "room6" 20.7
"2022-11-26 06:25:55" "room7" 20.7
"2022-11-26 06:25:55" "room8" NA
"2022-11-26 06:25:55" "room9" 21.5
"2022-11-26 07:18:23" "room0" 21.9
"2022-11-26 07:18:23" "room1" 21.7
"2022-11-26 07:18:23" "room2" 21.1
"2022-11-26 07:18:23" "room3" 20.6
"2022-11-26 07:18:23" "room4" 21.8
"2022-11-26 07:18:23" "room5" 20.2
"2022-11-26 07:18:23" "room6" 20.8
"2022-11-26 07:18:23" "room7" 20.7
"2022-11-26 07:18:23" "room8" NA
"2022-11-26 07:18:23" "room9" 21.5
